#,Symbol,Name,Twitter Handle,Search Parameters,Relevant Tweets in 2020,,,,,,,,,,,,
0,138SL,,@138SL,"(""$138SL.ja"" OR ""138 student living"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",59,,,,,,,,,,,,
1,1834,,-,"(""$1834.ja"" OR ""1834 investments"") -slavery lang:en until:2020-12-31 since:2016-01-01",10,,,,,,,,,,,,
2,AFS,Access Financial Svc,@accessfinanceja,"(""$AFS.ja"" OR ""Access Financial Svc"") lang:en until:2020-12-31 since:2016-01-01",21,,,,,,,,,,,,
3,AMG,AMG PACKAGING,@AMGPACKAGINGJA,"(""$AMG.ja"" OR ""AMG PACKAGING"") lang:en until:2020-12-31 since:2016-01-01",19,,,,,,,,,,,,
4,BIL,Barita,@BaritaLimited,"(""$BIL.ja"" OR ""Barita"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",480,,,,,,,,,,,,
5,BPOW,BLUE POWER GROUP,-,"(""$BPOW.ja"" OR ""BLUE POWER GROUP"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",19,,,,,,,,,,,,
6,BRG,BERGER PAINTS JAMAICA,@BergerPaintsJA,"(""$BRG.ja"" OR ""BERGER PAINTS JAMAICA"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",6,,,,,,,,,,,,
9,CAR,CARRERAS LIMITED,-,"(""$CAR.ja"" OR ""CARRERAS LIMITED"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01", -   ,,,,,,,,,,,,
10,CBNY,CIBONEY GROUP,-,"(""$CBNY.ja"" OR ""CIBONEY GROUP"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",1,,,,,,,,,,,,
11,CCC,Carib Cement,@caribcementja,"(""$CCC.ja"" OR ""Carib Cement"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",216,,,,,,,,,,,,
15,CPJ,CARIBBEAN PRODUCERS JAMAICA,-,"(""$CPJ.ja"" OR ""CARIBBEAN PRODUCERS JAMAICA"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",11,,,,,,,,,,,,
26,GK,GRACEKENNEDY,@GraceKennedyGrp,"(""$GK.ja"" OR ""GRACEKENNEDY"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",180,,,,,,,,,,,,
28,HONBUN,HONEY BUN (1982),,"(""$HONBUN.ja"" OR ""HONEY BUN (1982)"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",1,,,,,,,,,,,,
32,JAMT,JAMAICAN TEAS,,"(""$JAMT.ja"" OR ""JAMAICAN TEAS"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",12,,,,,,,,,,,,
33,JBG,JAMAICA BROILERS,,"(""$JBG.ja"" OR ""JAMAICA BROILERS"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",120,,,,,,,,,,,,
35,JMMBGL,JMMB,,"(""$JMMBGL.ja"" OR ""JMMB"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",1200,,,,,,,,,,,,
37,JSE,JAMAICA STOCK EXCHANGE,,"(""$JSE.ja"" OR ""JAMAICA STOCK EXCHANGE"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",144,,,,,,,,,,,,
41,KPREIT,KINGSTON PROPERTIES,,"(""$KPREIT.ja"" OR ""KINGSTON PROPERTIES"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",12,,,,,,,,,,,,
43,KW,KINGSTON WHARVES,,"(""$KW.ja"" OR ""KINGSTON WHARVES"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",66,,,,,,,,,,,,
45,LASD,LASCO DISTRIBUTORS,,"(""$LASD.ja"" OR ""LASCO DISTRIBUTORS"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01", -   ,,,,,,,,,,,,
46,LASF,LASCO FINANCIAL SERVICES,,"(""$LASF.ja"" OR ""LASCO FINANCIAL SERVICES"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",1,,,,,,,,,,,,
47,LASM,LASCO MANUFACTURING,,"(""$LASM.ja"" OR ""LASCO MANUFACTURING"" -""JSEInvestor.com"") lang:en until:2020-12-31 since:2016-01-01",24,,,,,,,,,,,,
50,MDS,MEDICAL DISPOSABLES & SUPPLIES,,,,,,,,,,,,,,,
59,PJAM,PANJAM INVESTMENT,,,,,,,,,,,,,,,
61,PROVEN,PROVEN INVESTMENTS JMD,,,,,,,,,,,,,,,
63,PULS,PULSE INVESTMENTS,,,,,,,,,,,,,,,
64,PURITY,CONSOLIDATED BAKERIES (JAMAICA),,,,,,,,,,,,,,,
66,RJR,RADIO JAMAICA,,,,,,,,,,,,,,,
73,SEP,SEPROD,,,,,,,,,,,,,,,
74,SGJ,SCOTIA GROUP JAMAICA,,,,,,,,,,,,,,,
76,SJ,SAGICOR GROUP JAMAICA,,,,,,,,,,,,,,,
80,SVL,SUPREME VENTURES,,,,,,,,,,,,,,,
87,XFUND,SAGICOR REAL ESTATE X FUND LTD.,,,,,,,,,,,,,,,
13,CHL,CARGO HANDLERS,,,,,,,,,,,,,,,
17,DTL,DERRIMON TRADING COMPANY,,,,,,,,,,,,,,,
21,EPLY,EPPLEY,,,,,,,,,,,,,,,
25,GENAC,GENERAL ACCIDENT INSURANCE COMPANY (JA),,,,,,,,,,,,,,,
36,JP,JAMAICA PRODUCERS GROUP LTD.,,,,,,,,,,,,,,,
38,KEX,KNUTSFORD EXPRESS SERVICES,,,,,,,,,,,,,,,
52,MIL,MAYBERRY INVESTMENTS,,,,,,,,,,,,,,,
62,PTL,PARAMOUNT TRADING (JAMAICA),,,,,,,,,,,,,,,
16,DCOVE,DOLPHIN COVE,,,,,,,,,,,,,,,
42,KREMI,CARIBBEAN CREAM,,,,,,,,,,,,,,,
55,MTL,MARGARITAVILLE (TURKS),,,,,,,,,,,,,,,
75,SIL,STERLING INVESTMENTS,,,,,,,,,,,,,,,
58,PAL,PALACE AMUSEMENT CO. LTD.,,,,,,,,,,,,,,,
83,TTECH,TTECH,,,,,,,,,,,,,,,
12,CFF,CARIBBEAN FLAVOURS & FRAGRANCES,,,,,,,,,,,,,,,
68,SALF,SALADA FOODS JAMAICA LTD.,,,,,,,,,,,,,,,
8,CAC,CAC 2000,,,,,,,,,,,,,,,
40,KLE,K.L.E. GROUP,,,,,,,,,,,,,,,
67,ROC,IRONROCK INSURANCE COMPANY,,,,,,,,,,,,,,,
34,JETCON,JETCON CORPORATION,,,,,,,,,,,,,,,
39,KEY,KEY INSURANCE COMPANY,,,,,,,,,,,,,,,
31,ISP,ISP FINANCE SERVICES,,,,,,,,,,,,,,,
60,PJX,PORTLAND JSX,,,,,,,,,,,,,,,
51,MEEG,MAIN EVENT ENTERTAINMENT GROUP,,,,,,,,,,,,,,,
57,NCBFG,NCB FINANCIAL GROUP,,,,,,,,,,,,,,,
18,ECL,EXPRESS CATERING,,,,,,,,,,,,,,,
78,SOS,STATIONERY AND OFFICE SUPPLIES,,,,,,,,,,,,,,,
23,FOSRICH,FOSRICH COMPANY,,,,,,,,,,,,,,,
27,GWEST,GWEST CORPORATION ORDINARY SHARES,,,,,,,,,,,,,,,
86,WISYNCO,WISYNCO GROUP LTD ORDINARY SHARES,,,,,,,,,,,,,,,
84,VMIL,VICTORIA MUTUAL INVESTMENTS LTD ORDINARY SHARES,,,,,,,,,,,,,,,
20,ELITE,ELITE DIAGNOSTIC,,,,,,,,,,,,,,,
56,MUSIC,C2W MUSIC,,,,,,,,,,,,,,,
69,SCIJMD,SYGNUS CREDIT INVESTMENTS JMD ORDINARY SHARES,,,,,,,,,,,,,,,
19,EFRESH,EVERYTHING FRESH,,,,,,,,,,,,,,,
70,SCIUSD,SYGNUS CREDIT INVESTMENTS USD ORDINARY SHARES,,,,,,,,,,,,,,,
53,MJE,MAYBERRY JAMAICAN EQUITIES,,,,,,,,,,,,,,,
30,INDIES,INDIES PHARMA JAMAICA ORDINARY SHARES,,,,,,,,,,,,,,,
77,SML,STANLEY MOTTA ORDINARY SHARES,,,,,,,,,,,,,,,
79,SSLVC,SSL VENTURE CAPITAL JAMAICA,,,,,,,,,,,,,,,
24,FTNA,FONTANA,,,,,,,,,,,,,,,
54,MPCCEL,MPC CARIBBEAN CLEAN ENERGY,,,,,,,,,,,,,,,
29,ICREATE,ICREATE ORDINARY SHARES,,,,,,,,,,,,,,,
85,WIG,WIGTON WINDFARM ORDINARY SHARES,,,,,,,,,,,,,,,
44,LAB,THE LIMNERS AND BARDS,,,,,,,,,,,,,,,
71,SELECTF,SAGICOR SELECT FUNDS - FINANCIAL,,,,,,,,,,,,,,,
14,CPFV,EPPLEY CARIBBEAN PROPERTY FUND SCC,,,,,,,,,,,,,,,
65,QWI,QWI INVESTMENTS,,,,,,,,,,,,,,,
49,MAILPAC,MAILPAC GROUP,,,,,,,,,,,,,,,
48,LUMBER,LUMBER DEPOT,,,,,,,,,,,,,,,
72,SELECTMD,SAGICOR SELECT FUNDS MANUFACTURING & DISTRIBUTION,,,,,,,,,,,,,,,
22,FIRSTROCKJMD,FIRST ROCK CAPITAL HOLDINGS,,,,,,,,,,,,,,,
7,CABROKERS,CARIBBBEAN ASSURANCE BROKERS,,,,,,,,,,,,,,,
81,TJH,TRANSJAMAICAN HIGHWAY,,,,,,,,,,,,,,,
82,TROPICAL,TROPICAL BATTERY COMPANY,,,,,,,,,,,,,,,
